Name,Position,Height,Weight,Team,School
Joe Simpson,Outfield,"6'3""",195 lb,Campbell Fighting Camels,Campbell University
Dalen Thompson,Outfield,"6'1""",190 lb,Campbell Fighting Camels,Campbell University
Jonah Oster,Infield,"6'2""",205 lb,Campbell Fighting Camels,Campbell University
Seth Farni,Outfield,"6'0""",195 lb,Campbell Fighting Camels,Campbell University
Nick Biasi,Left-Handed Pitcher,"5'9""",210 lb,Campbell Fighting Camels,Campbell University
Ben Karpowicz,Infield,6'2'',200 lb,Campbell Fighting Camels,Campbell University
Cooper Clark,Right-Handed Pitcher,"6'4""",200 lb,Campbell Fighting Camels,Campbell University
Andrew Schuldt,Catcher,"5'9""",195 lb,Campbell Fighting Camels,Campbell University
Darnell Parker Jr.,Infield,"6'1""",200 lb,Campbell Fighting Camels,Campbell University
Cy Cox,Left-Handed Pitcher,"6'0""",195 lb,Campbell Fighting Camels,Campbell University
Lleyton Grubich,Left-Handed Pitcher,"6'0""",205 lb,Campbell Fighting Camels,Campbell University
Jackson Thompson,Catcher,"6'2""",215 lb,Campbell Fighting Camels,Campbell University
Zach Sabers,Right-Handed Pitcher,"6'2""",215 lb,Campbell Fighting Camels,Campbell University
Mason Smith,Right-Handed Pitcher,"6'0""",195 lb,Campbell Fighting Camels,Campbell University
Jackson Roberts,Right-Handed Pitcher,"6'1""",205 lb,Campbell Fighting Camels,Campbell University
DJ Akiyama,Infield,"6'1""",220 lb,Campbell Fighting Camels,Campbell University
Logen Sutton,Infield,"6'1""",210 lb,Campbell Fighting Camels,Campbell University
David Rossow,Right-Handed Pitcher,"6'3""",220 lb,Campbell Fighting Camels,Campbell University
Lukas Schramm,Outfield,"6'3""",215 lb,Campbell Fighting Camels,Campbell University
Bryce Schares,Right-Handed Pitcher,6'1'',215 lb,Campbell Fighting Camels,Campbell University
Jarrett Martin,Catcher,"6'3""",220 lb,Campbell Fighting Camels,Campbell University
Joey Morton,Infield,"6'4""",215 lb,Campbell Fighting Camels,Campbell University
Ethan Snyder,Right-Handed Pitcher,"6'4""",235 lb,Campbell Fighting Camels,Campbell University
Nathan Waldridge,Left-Handed Pitcher,"6'0""",220 lb,Campbell Fighting Camels,Campbell University
Aaron Smigelski,Infield,"6'2""",205 lb,Campbell Fighting Camels,Campbell University
Charlie Meglio,Infield,"6'4""",215 lb,Campbell Fighting Camels,Campbell University
Jake Murray,Left-Handed Pitcher,"6'1""",215 lb,Campbell Fighting Camels,Campbell University
Peyton Brown,Right-Handed Pitcher,"6'10""",210 lb,Campbell Fighting Camels,Campbell University
Andrew Keller,Outfield,"6'3""",215 lb,Campbell Fighting Camels,Campbell University
Zac Martin,Right-Handed Pitcher,"6'4""",200 lb,Campbell Fighting Camels,Campbell University
Dalton Hazlett,Right-Handed Pitcher,"6'1""",215 lb,Campbell Fighting Camels,Campbell University
Parker Webb,Right-Handed Pitcher,"6'2""",205 lb,Campbell Fighting Camels,Campbell University
Davis Albert,Infield,"6'1""",205 lb,Campbell Fighting Camels,Campbell University
Wilson Woodcox,Infield,"6'0""",210 lb,Campbell Fighting Camels,Campbell University
Jett Music,Outfield/Right-Handed Pitcher,"6'2""",195 lb,Campbell Fighting Camels,Campbell University
Kale Scruggs,Right-Handed Pitcher,"6'0""",195 lb,Campbell Fighting Camels,Campbell University
Will Palmer,Left-Handed Pitcher,"6'1""",205 lb,Campbell Fighting Camels,Campbell University
Will Gnibus,Left-Handed Pitcher,"6'1""",205 lb,Campbell Fighting Camels,Campbell University
Drew Siegner,Right-Handed Pitcher,"6'0""",215 lb,Campbell Fighting Camels,Campbell University
Evans Hendricks,Left-Handed Pitcher,"6'0""",200 lb,Campbell Fighting Camels,Campbell University
