Name,Position,Height,Weight,Team,School
Justin Nadeau,INF/OF,"6'0""",195 lb,Florida Gators,University Of Florida
Ty Evans,OF,"6'2""",215 lb,Florida Gators,University Of Florida
Kyle Jones,OF,"6'3""",185 lb,Florida Gators,University Of Florida
Cade Kurland,INF,"5'11""",110 lb,Florida Gators,University Of Florida
Blake Cyr,OF/INF,"5'11""",110 lb,Florida Gators,University Of Florida
Bobby Boser,INF/OF,"6'1""",215 lb,Florida Gators,University Of Florida
Christian Rodriguez,RHP,"6'0""",210 lb,Florida Gators,University Of Florida
Luke McNeillie,RHP,"6'3""",190 lb,Florida Gators,University Of Florida
Colby Shelton,INF,"6'0""",205 lb,Florida Gators,University Of Florida
Brendan Lawson,INF,"6'3""",215 lb,Florida Gators,University Of Florida
Liam Peterson,RHP,"6'5""",220 lb,Florida Gators,University Of Florida
Landon Stripling,INF,"6'0""",200 lb,Florida Gators,University Of Florida
Joshua Whritenour,RHP,"6'2""",195 lb,Florida Gators,University Of Florida
Hayden Yost,OF,"6'1""",195 lb,Florida Gators,University Of Florida
Jacob Gomberg,LHP,"5'10""",200 lb,Florida Gators,University Of Florida
Pierce Coppola,LHP,"6'8""",245 lb,Florida Gators,University Of Florida
Jake Clemente,RHP,"6'3""",225 lb,Florida Gators,University Of Florida
Caden McDonald,RHP/1B,"6'3""",200 lb,Florida Gators,University Of Florida
Jackson Barberi,RHP,"6'4""",180 lb,Florida Gators,University Of Florida
Billy Barlow,RHP,"6'2""",220 lb,Florida Gators,University Of Florida
Blake Brookins,OF,"6'5""",225 lb,Florida Gators,University Of Florida
Kolt Myers,INF,"6'2""",190 lb,Florida Gators,University Of Florida
Niko Janssens,LHP,"6'4""",200 lb,Florida Gators,University Of Florida
Blaine Rowland,RHP,"6'3""",220 lb,Florida Gators,University Of Florida
Luke Heyman,C,"6'4""",220 lb,Florida Gators,University Of Florida
Brody Donay,C,"6'5""",235 lb,Florida Gators,University Of Florida
Ashton Wilson,OF/INF,"6'0""",200 lb,Florida Gators,University Of Florida
Frank Menendez,LHP,"6'1""",215 lb,Florida Gators,University Of Florida
McCall Biemiller,LHP,"6'2""",180 lb,Florida Gators,University Of Florida
Alex Philpott,RHP,"6'6""",200 lb,Florida Gators,University Of Florida
Brock Clayton,C/OF,"6'3""",210 lb,Florida Gators,University Of Florida
Matthew Jenkins,RHP,"6'6""",195 lb,Florida Gators,University Of Florida
Mason Laurito,LHP,"6'0""",175 lb,Florida Gators,University Of Florida
Cole Bullen,C,"5'9""",175 lb,Florida Gators,University Of Florida
Felix Ong,RHP,"6'4""",220 lb,Florida Gators,University Of Florida
Schuyler Sandford,RHP,"6'6""",215 lb,Florida Gators,University Of Florida
Aidan King,RHP,"6'2""",195 lb,Florida Gators,University Of Florida
Carson Montsdeoca,RHP,"6'3""",205 lb,Florida Gators,University Of Florida
