Name,Position,Height,Weight,Team,School name
Ryan Black,INF,6' 1'',191 lb,Georgia Bulldogs,University of Georgia
Zach Harris,RHP,6' 1'',193 lb,Georgia Bulldogs,University of Georgia
Erik Parker,INF,6' 3'',184 lb,Georgia Bulldogs,University of Georgia
Christian Adams,INF/OF,6' 2'',215 lb,Georgia Bulldogs,University of Georgia
Jordan Stephens,RHP,6' 4'',223 lb,Georgia Bulldogs,University of Georgia
Brian Curley,RHP,5' 10'',212 lb,Georgia Bulldogs,University of Georgia
Davis Chastain,RHP,5' 11'',163 lb,Georgia Bulldogs,University of Georgia
Kolby Branch,INF,5' 11'',195 lb,Georgia Bulldogs,University of Georgia
Robbie Burnett,OF/INF,5' 10'',191 lb,Georgia Bulldogs,University of Georgia
Henry Hunter,C/OF,6' 2'',217 lb,Georgia Bulldogs,University of Georgia
Leighton Finley,RHP,6' 5'',235 lb,Georgia Bulldogs,University of Georgia
Asher Sabom,RHP,6' 3'',220 lb,Georgia Bulldogs,University of Georgia
Trey King,INF,6' 1'',190 lb,Georgia Bulldogs,University of Georgia
Matthew Hoskins,RHP,6' 2'',229 lb,Georgia Bulldogs,University of Georgia
Kolten Smith,RHP,6' 3'',210 lb,Georgia Bulldogs,University of Georgia
Cade Brown,INF,6' 2'',212 lb,Georgia Bulldogs,University of Georgia
TL Saxon,INF,6' 4'',262 lb,Georgia Bulldogs,University of Georgia
Nolan McCarthy,OF,6' 0'',196 lb,Georgia Bulldogs,University of Georgia
Ryland Zaborowski,INF/OF,6' 5'',250 lb,Georgia Bulldogs,University of Georgia
Devin Obee,OF,2' 2'',215 lb,Georgia Bulldogs,University of Georgia
JT Quinn,RHP,6' 6'',210 lb,Georgia Bulldogs,University of Georgia
Dylan Goldstein,OF,6' 0'',210 lb,Georgia Bulldogs,University of Georgia
Daniel Jackson,C,6' 0'',203 lb,Georgia Bulldogs,University of Georgia
Brian Zeldin,RHP,5' 11'',196 lb,Georgia Bulldogs,University of Georgia
Brennan Hudson,C/INF/OF,6' 1'',226 lb,Georgia Bulldogs,University of Georgia
Charlie Goldstein,LHP,6' 1'',200 lb,Georgia Bulldogs,University of Georgia
Eric Hammond,RHP,6' 4'',193 lb,Georgia Bulldogs,University of Georgia
Logan Spivey,RHP,6' 4'',230 lb,Georgia Bulldogs,University of Georgia
Nate Taylor,RHP,6' 2'',213 lb,Georgia Bulldogs,University of Georgia
Tyler McLoughlin,RHP,6' 3'',229 lb,Georgia Bulldogs,University of Georgia
Paul Farley,RHP,6' 1'',201 lb,Georgia Bulldogs,University of Georgia
Tre Phelps,INF/OF,6' 2'',204 lb,Georgia Bulldogs,University of Georgia
Zach Brown,RHP,6' 5'',217 lb,Georgia Bulldogs,University of Georgia
DJ Radtke,RHP,6' 3'',191 lb,Georgia Bulldogs,University of Georgia
Wyatt Land,RHP,6' 3'',191 lb,Georgia Bulldogs,University of Georgia
Justin Byrd,RHP,6' 2'',196 lb,Georgia Bulldogs,University of Georgia
Alton Davis II,LHP,6' 5'',181 lb,Georgia Bulldogs,University of Georgia
Luke Wiltrakis,RHP,6' 3'',219 lb,Georgia Bulldogs,University of Georgia
Slate Alford,INF,6' 3'',236 lb,Georgia Bulldogs,University of Georgia
Bradley Stewart,LHP,6' 3'',225 lb,Georgia Bulldogs,University of Georgia
Charlie Jones,IF/OF,6' 3'',226 lb,Georgia Bulldogs,University of Georgia
Collin Caldwell,LHP,5' 11'',203 lb,Georgia Bulldogs,University of Georgia
Alexander Sifford,INF,6' 2'',181 lb,Georgia Bulldogs,University of Georgia
Lucas Morici,RHP,6' 5'',203 lb,Georgia Bulldogs,University of Georgia
