Name,Position,Height,Weight,Team,School
Vance Sheahan,Infield,"6'3""",185 lb,Miami Hurricanes,University of Miami
Derek Williams,Outfield,"6'4""",205 lb,Miami Hurricanes,University of Miami
Jake Ogden,Infield,"6'2""",195 lb,Miami Hurricanes,University of Miami
Brandon DeGoti,Infield,"6'0""",180 lb,Miami Hurricanes,University of Miami
Max Galvin,Outfield,"6'1""",205 lb,Miami Hurricanes,University of Miami
Lyndon Glidewell,Right-handed pitcher,"6'3""",180 lb,Miami Hurricanes,University of Miami
Rob Evans,Left-handed pitcher,"6'4""",230 lb,Miami Hurricanes,University of Miami
Alex Sosa,Catcher,"6'3""",205 lb,Miami Hurricanes,University of Miami
Daniel Cuvet,Infield,"6'2""",235 lb,Miami Hurricanes,University of Miami
Cian Copeland,Infield/Outfield,"6'5""",211 lb,Miami Hurricanes,University of Miami
Fabio Peralta,Outfield,"6'0""",185 lb,Miami Hurricanes,University of Miami
Frank Menendez,Right-handed pitcher,"6'2""",220 lb,Miami Hurricanes,University of Miami
TJ Coats,Right-handed pitcher,"6'4""",213 lb,Miami Hurricanes,University of Miami
Michael Taylor,Right-handed pitcher,"6'3""",225 lb,Miami Hurricanes,University of Miami
Patrick Bradley-Cooney,Right-handed pitcher,"6'2""",200 lb,Miami Hurricanes,University of Miami
Tate DeRias,Right-handed pitcher,"6'1""",188 lb,Miami Hurricanes,University of Miami
Jackson Hugus,Catcher,"6'1""",205 lb,Miami Hurricanes,University of Miami
Brylan West,Infield,"6'1""",240 lb,Miami Hurricanes,University of Miami
Ryan Bilka,Right-handed pitcher,"6'4""",202 lb,Miami Hurricanes,University of Miami
Michael Torres,Outfield,"6'5""",185 lb,Miami Hurricanes,University of Miami
Erick Peralta,Right-handed pitcher,"6'3""",240 lb,Miami Hurricanes,University of Miami
Nick Robert,Right-handed pitcher,"5'10""",230 lb,Miami Hurricanes,University of Miami
Alonzo Alvarez,Catcher,"6'4""",200 lb,Miami Hurricanes,University of Miami
Jake Lodgek,Right-handed pitcher,"6'4""",180 lb,Miami Hurricanes,University of Miami
Michael Fernandez,Left-handed pitcher,"6'2""",170 lb,Miami Hurricanes,University of Miami
Eddie Zaun,Infield,"6'3""",200 lb,Miami Hurricanes,University of Miami
Jailen Watkins,Infield,"6'2""",160 lb,Miami Hurricanes,University of Miami
Mario Magana,Outfield,"6'0""",190 lb,Miami Hurricanes,University of Miami
Jake Dorn,Left-handed pitcher,"6'1""",235 lb,Miami Hurricanes,University of Miami
Brixton Lofgren,Right-handed pitcher,"6'3""",183 lb,Miami Hurricanes,University of Miami
Donavan Jeffery,Infield,"6'4""",225 lb,Miami Hurricanes,University of Miami
Dylan Dubovik,Outfield/Right-handed pitcher,"6'1""",200 lb,Miami Hurricanes,University of Miami
Bennett Gary,Outfield,"6'4""",160 lb,Miami Hurricanes,University of Miami
Mason Greenhouse,Outfield,"6'3""",190 lb,Miami Hurricanes,University of Miami
Jack Durso,Left-handed pitcher,"6'7""",205 lb,Miami Hurricanes,University of Miami
AJ Ciscar,Right-handed pitcher,"5'10""",209 lb,Miami Hurricanes,University of Miami
Lonzo Drummond,Left-handed pitcher,"6'3""",165 lb,Miami Hurricanes,University of Miami
Sebastian Santos-Olson,Left-handed pitcher,"6'1""",225 lb,Miami Hurricanes,University of Miami
Gabriel Milano,Infield,"6'5""",190 lb,Miami Hurricanes,University of Miami
Lazaro Collera,Right-handed pitcher,"6'4""",225 lb,Miami Hurricanes,University of Miami
