Name,Position,Height,Weight,Team,School
Jacob Parker,OF,"6'3""",220 lb,Mississippi State Bulldog,Mississippi State University
Ace Reese,INF,"6'4""",220 lb,Mississippi State Bulldog,Mississippi State University
Tomas Valincius,LHP,"6'2""",225 lb,Mississippi State Bulldog,Mississippi State University
Aidan Teel,OF,"6'0""",200 lb,Mississippi State Bulldog,Mississippi State University
James Nunnallee,OF,"6'1""",190 lb,Mississippi State Bulldog,Mississippi State University
Reed Stallman,1B/OF,"6'3""",220 lb,Mississippi State Bulldog,Mississippi State University
Charlie Foster,LHP,"6'4""",205 lb,Mississippi State Bulldog,Mississippi State University
Ryder Woodson,INF,"6'3""",190 lb,Mississippi State Bulldog,Mississippi State University
Drew Wyers,INF,"6'2""",200 lb,Mississippi State Bulldog,Mississippi State University
Duke Stone,RHP,"6'5""",235 lb,Mississippi State Bulldog,Mississippi State University
Chone James,INF/UTL,"6'0""",185 lb,Mississippi State Bulldog,Mississippi State University
William Kirk,LHP,"6'2""",205 lb,Mississippi State Bulldog,Mississippi State University
Vytas Valincius,OF,"6'4""",230 lb,Mississippi State Bulldog,Mississippi State University
Tanner Beliveau,RHP/UTL,"6'3""",225 lb,Mississippi State Bulldog,Mississippi State University
Braden Booth,RHP,"6'2""",200 lb,Mississippi State Bulldog,Mississippi State University
Parker Rhodes,RHP,"6'1""",185 lb,Mississippi State Bulldog,Mississippi State University
Noah Sullivan,UTL/RHP,"6'1""",215 lb,Mississippi State Bulldog,Mississippi State University
Andrew Raymond,C,"6'1""",205 lb,Mississippi State Bulldog,Mississippi State University
Maddox Miller,LHP,"6'4""",185 lb,Mississippi State Bulldog,Mississippi State University
Kevin Milewski,C,"6'5""",235 lb,Mississippi State Bulldog,Mississippi State University
Nick Frontino,INF,"6'3""",205 lb,Mississippi State Bulldog,Mississippi State University
Jackson Owen,C,"5'10""",210 lb,Mississippi State Bulldog,Mississippi State University
Jack Bauer,LHP,"6'4""",195 lb,Mississippi State Bulldog,Mississippi State University
Chris Billingsley Jr.,RHP,"6'4""",205 lb,Mississippi State Bulldog,Mississippi State University
Peter Mershon,UTL,"6'2""",205 lb,Mississippi State Bulldog,Mississippi State University
Ryan McPherson,RHP,"6'3""",205 lb,Mississippi State Bulldog,Mississippi State University
Maddox Webb,RHP,"6'2""",195 lb,Mississippi State Bulldog,Mississippi State University
Jackson Logar,RHP,"6'0""",215 lb,Mississippi State Bulldog,Mississippi State University
Charlie Wortham,UTL,"6'1""",205 lb,Mississippi State Bulldog,Mississippi State University
Peyton Fowler,RHP,"6'3""",195 lb,Mississippi State Bulldog,Mississippi State University
Blake Bevis,1B/OF,"6'4""",230 lb,Mississippi State Bulldog,Mississippi State University
Gehrig Frei,INF/OF,"6'1""",210 lb,Mississippi State Bulldog,Mississippi State University
Ben Davis,RHP,"6'4""",230 lb,Mississippi State Bulldog,Mississippi State University
Tyler Pitzer,RHP,"6'3""",205 lb,Mississippi State Bulldog,Mississippi State University
Brendan Sweeney,RHP,"6'7""",210 lb,Mississippi State Bulldog,Mississippi State University
Bryce Chance,OF,"5'10""",210 lb,Mississippi State Bulldog,Mississippi State University
Patrick Spencer Jr.,RHP,"6'3""",215 lb,Mississippi State Bulldog,Mississippi State University
Jack Gleason,RHP,"6'1""",200 lb,Mississippi State Bulldog,Mississippi State University
Dane Burns,LHP,"6'5""",215 lb,Mississippi State Bulldog,Mississippi State University
JT Schnoor,RHP,"6'4""",225 lb,Mississippi State Bulldog,Mississippi State University
Gatlin Sanders,INF,"5'11""",211 lb,Mississippi State Bulldog,Mississippi State University
