Name,Position,Height,Weight,Team,School
Lee Ellis,Jr.,"6'1""",179 lb,Ohio State Buckeyes,Ohio State University
Henry Kaczmar,Sr.,"5'10""",210 lb,Ohio State Buckeyes,Ohio State University
Alex Bemis,Jr.,"5'11""",211 lb,Ohio State Buckeyes,Ohio State University
Bryer Arview,R-So.,"5'11""",211 lb,Ohio State Buckeyes,Ohio State University
Maddix Simpson,So.,"6'1""",195 lb,Ohio State Buckeyes,Ohio State University
Addison Binnie,Jr.,"6'0""",206 lb,Ohio State Buckeyes,Ohio State University
Noah Furcht,Gr.,"6'1""",212 lb,Ohio State Buckeyes,Ohio State University
Grant Mangrum,Gr.,"6'2""",207 lb,Ohio State Buckeyes,Ohio State University
Zach Weber,Gr.,"6'2""",215 lb,Ohio State Buckeyes,Ohio State University
Miles Vandenheuvel,Jr.,"6'2""",193 lb,Ohio State Buckeyes,Ohio State University
Gavin West,Jr.,"6'1""",209 lb,Ohio State Buckeyes,Ohio State University
Andrew Edrington,Jr.,"6'0""",190 lb,Ohio State Buckeyes,Ohio State University
Sahil Patel,R-Jr.,"6'0""",184 lb,Ohio State Buckeyes,Ohio State University
Mason Eckelman,Jr.,"6'1""",223 lb,Ohio State Buckeyes,Ohio State University
Jack Cecil,Jr.,"6'0""",187 lb,Ohio State Buckeyes,Ohio State University
Dane Harvey,R-So.,"6'5""",285 lb,Ohio State Buckeyes,Ohio State University
Chris Domke,Jr.,"6'4""",214 lb,Ohio State Buckeyes,Ohio State University
Jake Michalak,Jr.,"6'3""",217 lb,Ohio State Buckeyes,Ohio State University
Pierce Herrenbruck,Jr.,"6'2""",202 lb,Ohio State Buckeyes,Ohio State University
Luke Carrell,R-Sr.,"6'2""",213 lb,Ohio State Buckeyes,Ohio State University
Hunter Shaw,Sr.,"6'5""",213 lb,Ohio State Buckeyes,Ohio State University
Haven Fielder,Fr.,"6'2""",243 lb,Ohio State Buckeyes,Ohio State University
Ryan Butler,Gr.,"6'2""",202 lb,Ohio State Buckeyes,Ohio State University
Nik Copenhaver,R-So.,"6'4""",224 lb,Ohio State Buckeyes,Ohio State University
Caden Marcum,Jr.,"6'6""",166 lb,Ohio State Buckeyes,Ohio State University
CJ Reid,Jr.,"6'0""",196 lb,Ohio State Buckeyes,Ohio State University
Lincoln McVicker,Jr.,"6'5""",261 lb,Ohio State Buckeyes,Ohio State University
Austin Rose,Fr.,"6'3""",221 lb,Ohio State Buckeyes,Ohio State University
Steven Cavaco,Fr.,"5'11""",211 lb,Ohio State Buckeyes,Ohio State University
Ryan Zamora,Jr.,"6'0""",211 lb,Ohio State Buckeyes,Ohio State University
Alonzo Paul Jr.,Sr.,"5'9""",173 lb,Ohio State Buckeyes,Ohio State University
Douglas Bauer,Sr.,"6'3""",212 lb,Ohio State Buckeyes,Ohio State University
Zak Sigman,Jr.,"5'10""",210 lb,Ohio State Buckeyes,Ohio State University
Gavin Kuzniewski,So.,"5'11""",211 lb,Ohio State Buckeyes,Ohio State University
Connor Fuhrer,Fr.,"6'2""",185 lb,Ohio State Buckeyes,Ohio State University
Jude Fisher,Fr.,"6'2""",207 lb,Ohio State Buckeyes,Ohio State University
Jacob Parr,Fr.,"6'4""",208 lb,Ohio State Buckeyes,Ohio State University
Owen Graf,Fr.,"6'4""",206 lb,Ohio State Buckeyes,Ohio State University
Nick Sawyer,Jr.,"5'10""",210 lb,Ohio State Buckeyes,Ohio State University
