Name,Position,Height,Weight,Team,School
Trey Fenderson,INF,6' 0'',185 lb,Pittsburgh Panthers,University Of Pittsburgh
Kai Wagner,INF,6' 6'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
AJ Nessler,OF,6' 0'',220 lb,Pittsburgh Panthers,University Of Pittsburgh
Jake Kendro,INF,5' 11'',190 lb,Pittsburgh Panthers,University Of Pittsburgh
Joey Baran,C,6' 1'',205 lb,Pittsburgh Panthers,University Of Pittsburgh
Anthony LaSala,INF,6' 0'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
Mason Ligenza,OF,6' 0'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Caden Dulin,INF,6' 1'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
Aidan Mcaskie,OF/INF,6' 3'',225 lb,Pittsburgh Panthers,University Of Pittsburgh
Ryan Apaliski,LHP,6' 5'',230 lb,Pittsburgh Panthers,University Of Pittsburgh
Derrick Tarpley Jr.,OF,6' 5'',235 lb,Pittsburgh Panthers,University Of Pittsburgh
Julian Irizarry,OF,6' 2'',190 lb,Pittsburgh Panthers,University Of Pittsburgh
Mikey Gray,LHP,6' 1'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Joey Ciancimino,RHP,6' 2'',205 lb,Pittsburgh Panthers,University Of Pittsburgh
Noah Czajkowski,RHP,6' 4'',205 lb,Pittsburgh Panthers,University Of Pittsburgh
Sam Bryan,RHP,6' 5'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Sebastian Pisacreta,C,6' 5'',220 lb,Pittsburgh Panthers,University Of Pittsburgh
Gavin Chillot,RHP,6' 4'',220 lb,Pittsburgh Panthers,University Of Pittsburgh
"Antonio ""TJ"" Socarras",INF/P,6' 0'',175 lb,Pittsburgh Panthers,University Of Pittsburgh
Eddie Smink,RHP,6' 3'',210 lb,Pittsburgh Panthers,University Of Pittsburgh
Lorenzo Carrier,OF,6' 3'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Freddy Beruvides Jr.,LHP,6' 0'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
Drew Lafferty,RHP,6' 0'',198 lb,Pittsburgh Panthers,University Of Pittsburgh
Chase Kriebel,LHP,6' 2'',185 lb,Pittsburgh Panthers,University Of Pittsburgh
Gavin Miller,INF,6' 2'',210 lb,Pittsburgh Panthers,University Of Pittsburgh
Antonio Doganiero,RHP,6' 3'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
David Leslie,RHP,6' 5'',240 lb,Pittsburgh Panthers,University Of Pittsburgh
Jordan Jacob,INF,6' 3'',220 lb,Pittsburgh Panthers,University Of Pittsburgh
Vincent Spizzoucco,LHP,6' 1'',225 lb,Pittsburgh Panthers,University Of Pittsburgh
Carter Dierdorf,INF,6' 5'',215 lb,Pittsburgh Panthers,University Of Pittsburgh
Kayden Faulcon,RHP,5' 10'',170 lb,Pittsburgh Panthers,University Of Pittsburgh
Zach Walsh,OF,6' 0'',175 lb,Pittsburgh Panthers,University Of Pittsburgh
Nolan Behm,INF,6' 1'',170 lb,Pittsburgh Panthers,University Of Pittsburgh
Michael Savarese,RHP,6' 0'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
Ben Asmussen,RHP,6' 1'',198 lb,Pittsburgh Panthers,University Of Pittsburgh
Brandon Reiter,LHP,6' 3'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Daniel McAuliff,RHP,6' 5'',205 lb,Pittsburgh Panthers,University Of Pittsburgh
Andrew Luczak,RHP,5' 9'',180 lb,Pittsburgh Panthers,University Of Pittsburgh
Isaac Terhune,C,6' 5'',195 lb,Pittsburgh Panthers,University Of Pittsburgh
Jackson Cooke,C/INF,6' 2'',200 lb,Pittsburgh Panthers,University Of Pittsburgh
