Name,Position,Height,Weight,Team,School
Jayden Duplantier,INF/OF,"6'0""",205 lb,Texas Longhorns,UTA
Jalin Flores,INF,"6'2""",210 lb,Texas Longhorns,UTA
Jason Flores,RHP,"6'1""",245 lb,Texas Longhorns,UTA
Ethan Mendoza,INF,"5'10""",195 lb,Texas Longhorns,UTA
Anthony Pack Jr.,OF,"5'10""",180 lb,Texas Longhorns,UTA
Andrew Ermis,C,"6'1""",210 lb,Texas Longhorns,UTA
Carson Tinney,C,"6'4""",235 lb,Texas Longhorns,UTA
Jonah Williams,OF,"6'3""",215 lb,Texas Longhorns,UTA
Kade Bing,LHP,"6'1""",185 lb,Texas Longhorns,UTA
Haiden Leffew,LHP,"6'1""",225 lb,Texas Longhorns,UTA
Ruger Riojas,RHP,"6'0""",192 lb,Texas Longhorns,UTA
Presley Courville,C/UTL,"5'11""",185 lb,Texas Longhorns,UTA
Josh Livingston,INF,"6'0""",215 lb,Texas Longhorns,UTA
Will Hill,OF,"5'10""",210 lb,Texas Longhorns,UTA
Jack McKernan,LHP,"5'11""",205 lb,Texas Longhorns,UTA
Adrian Rodriguez,INF,"6'2""",200 lb,Texas Longhorns,UTA
Cal Higgins,LHP,"6'4""",255 lb,Texas Longhorns,UTA
Grady Westphal,RHP,"6'2""",195 lb,Texas Longhorns,UTA
Blake Peterson,OF,"6'0""",205 lb,Texas Longhorns,UTA
Kaleb Rogers,RHP,"5'11""",190 lb,Texas Longhorns,UTA
Casey Borba,INF,"6'1""",210 lb,Texas Longhorns,UTA
Maddox Monsour,OF/INF,"5'11""",205 lb,Texas Longhorns,UTA
Connor McCreery,RHP,"6'6""",235 lb,Texas Longhorns,UTA
Michael Winter,RHP,"6'5""",235 lb,Texas Longhorns,UTA
Sam Cozart,RHP,"6'6""",250 lb,Texas Longhorns,UTA
Callum Early,INF,"6'0""",190 lb,Texas Longhorns,UTA
Max Grubbs,RHP,"6'1""",220 lb,Texas Longhorns,UTA
Cody Howard,RHP,"6'1""",215 lb,Texas Longhorns,UTA
Aiden Robbins,OF,"6'2""",190 lb,Texas Longhorns,UTA
Ashton Larson,OF,"6'1""",200 lb,Texas Longhorns,UTA
Thomas Burns,RHP,"6'3""",240 lb,Texas Longhorns,UTA
Ethan Walker,LHP,"6'0""",200 lb,Texas Longhorns,UTA
Hudson Hamilton,RHP,"6'1""",225 lb,Texas Longhorns,UTA
Luke Harrison,LHP,"6'2""",215 lb,Texas Longhorns,UTA
Jack Paris,RHP,"6'2""",220 lb,Texas Longhorns,UTA
Brody Walls,RHP/INF,"6'0""",195 lb,Texas Longhorns,UTA
Cooper Rummel,RHP,"6'2""",230 lb,Texas Longhorns,UTA
Brett Crossland,RHP,"6'5""",240 lb,Texas Longhorns,UTA
