Name,Position,Height,Weight,Team,School
Sebastian Alexander,OF,"6'1""",190 lb,"The Chanticleers, ",Coastal Carolina University
Cameron Flukey,RHP,"6'6""",210 lb,"The Chanticleers, ",Coastal Carolina University
Ty Dooley,INF,"5'10""",185 lb,"The Chanticleers, ",Coastal Carolina University
Walker Mitchell,INF,"5'11""",180 lb,"The Chanticleers, ",Coastal Carolina University
Chad Born,OF,"6'1""",195 lb,"The Chanticleers, ",Coastal Carolina University
Blake Barthol,INF,"5'9""",185 lb,"The Chanticleers, ",Coastal Carolina University
Dean Mihos,INF/OF,"5'9""",165 lb,"The Chanticleers, ",Coastal Carolina University
Ty Barrango,INF,"5'11""",160 lb,"The Chanticleers, ",Coastal Carolina University
Jake Books,INF/OF,"6'0""",200 lb,"The Chanticleers, ",Coastal Carolina University
Domenico Tozzi,C,"5'10""",195 lb,"The Chanticleers, ",Coastal Carolina University
Colby Thorndyke,1B/OF,"6'0""",215 lb,"The Chanticleers, ",Coastal Carolina University
Caden Bodine,C,"5'10""",200 lb,"The Chanticleers, ",Coastal Carolina University
Hayden Johnson,LHP,"6'5""",215 lb,"The Chanticleers, ",Coastal Carolina University
Wells Sykes,OF,"5'8""",185 lb,"The Chanticleers, ",Coastal Carolina University
Jaxon Appelman,RHP,"6'1""",205 lb,"The Chanticleers, ",Coastal Carolina University
Blagen Pado,OF,"5'10""",185 lb,"The Chanticleers, ",Coastal Carolina University
Calvin Junek,RHP,"6'4""",210 lb,"The Chanticleers, ",Coastal Carolina University
Brice Estep,C,"5'9""",190 lb,"The Chanticleers, ",Coastal Carolina University
Cullen McKay,RHP,"6'1""",210 lb,"The Chanticleers, ",Coastal Carolina University
Riley Eikhoff,RHP,"5'10""",185 lb,"The Chanticleers, ",Coastal Carolina University
Freddy Rodriguez,INF,"5'10""",160 lb,"The Chanticleers, ",Coastal Carolina University
Matthew Potok,RHP,"6'4""",220 lb,"The Chanticleers, ",Coastal Carolina University
Andrew Bowers,RHP,"6'2""",215 lb,"The Chanticleers, ",Coastal Carolina University
Scott Doran,RHP,"6'4""",220 lb,"The Chanticleers, ",Coastal Carolina University
Ryan Perez,OF,"5'9""",190 lb,"The Chanticleers, ",Coastal Carolina University
Tadan Bell,LHP,"6'2""",197 lb,"The Chanticleers, ",Coastal Carolina University
Dawson Newman,LHP,"6'1""",180 lb,"The Chanticleers, ",Coastal Carolina University
Chance Mako,RHP,"6'5""",190 lb,"The Chanticleers, ",Coastal Carolina University
Dylan Hansen,RHP,"6'0""",200 lb,"The Chanticleers, ",Coastal Carolina University
Kylen Watson,OF,"6'0""",195 lb,"The Chanticleers, ",Coastal Carolina University
Elias Holbert,RHP,"6'4""",244 lb,"The Chanticleers, ",Coastal Carolina University
Darin Horn,RHP,"6'4""",200 lb,"The Chanticleers, ",Coastal Carolina University
Dominick Carbone,LHP,"5'10""",180 lb,"The Chanticleers, ",Coastal Carolina University
Oliver Ellison,RHP,"6'1""",199 lb,"The Chanticleers, ",Coastal Carolina University
Matt Joyce,RHP,"5'11""",185 lb,"The Chanticleers, ",Coastal Carolina University
Kaleb Huffman,1B/OF,"5'11""",210 lb,"The Chanticleers, ",Coastal Carolina University
Luke Jones,RHP,"5'10""",185 lb,"The Chanticleers, ",Coastal Carolina University
Hudson Lance,RHP,"5'9""",185 lb,"The Chanticleers, ",Coastal Carolina University
Ryan Lynch,RHP,"6'4""",234 lb,"The Chanticleers, ",Coastal Carolina University
Jacob Morrison,RHP,"6'8""",245 lb,"The Chanticleers, ",Coastal Carolina University
