Name,Position,Height,Weight,Team,School
Keaton Grady,INF,"5'9""",169 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Dylan Schlaegel,OF,"5'10""",184 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Mason Swinney,INF/RHP,"6'0""",192 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Cody Grebeck,INF,"5'7""",162 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Michael Dattalo,INF,"6'0""",204 lb,dallas baptist patriots,Dallas Baptist University (DBU)
James Ellwanger,RHP,"6'4""",205 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Grant Jay,C,"6'0""",225 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Nathan Humphreys,OF,"6'2""",207 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Adam Berghult,C,"6'1""",206 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Joey Nerat,OF,"5'11""",204 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Luke Heefner,INF,"6'0""",184 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Landon Underhill,INF,"6'0""",198 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Hudson Ellis,INF,"6'0""",175 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Brooks Sartain,INF,"6'1""",187 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Dillon Haines,LHP,"5'9""",187 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Jake Bennett,C/OF,"6'2""",231 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Chayton Krauss,INF,"6'3""",226 lb,dallas baptist patriots,Dallas Baptist University (DBU)
David Heefner,RHP,"6'3""",211 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Tom Poole,UTL,"6'2""",211 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Tyler Schott,LHP,"6'0""",206 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Mason Peters,LHP,"5'11""",175 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Micah Bucknam,RHP,"6'1""",212 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Bryan Williams Jr.,OF,"5'10""",176 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Ben Tryon,INF,"6'0""",212 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Ashton Branson,RHP,"5'11""",180 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Luke Pettitte,RHP/INF,"6'2""",223 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Liam Watt,LHP,"6'1""",187 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Park Prater,LHP/OF,"6'3""",225 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Tyler Ness,INF,"5'11""",181 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Charlie Atkinson,RHP,"6'5""",212 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Avery Duncan,RHP,"6'2""",189 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Landon Abrahamson,RHP,"6'1""",207 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Jace Russell,RHP,"6'2""",198 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Ryan Borberg,RHP,"6'1""",203 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Athan Kroll,RHP,"6'4""",204 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Will Yeary,RHP,"6'1""",182 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Colton Roquemore,UTL,"5'9""",182 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Nick Bonn,RHP,"6'0""",157 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Zach Todd,RHP,"6'3""",225 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Jerrod Jenkins,RHP,"6'2""",214 lb,dallas baptist patriots,Dallas Baptist University (DBU)
Rian Schwede,RHP,"6'2""",216 lb,dallas baptist patriots,Dallas Baptist University (DBU)
