Name,Position,Height,Weight,Team,School
Jake Smith,Infielder,"5'10""",175 lb,louisiana tech bulldogs,Louisiana Tech University 
Thaxton Berch,Infielder,"5'10""",175 lb,louisiana tech bulldogs,Louisiana Tech University 
Will Safford,Infielder,"5'8""",173 lb,louisiana tech bulldogs,Louisiana Tech University 
Brody Drost,Outfielder,"6'3""",205 lb,louisiana tech bulldogs,Louisiana Tech University 
Garrison Berkley,Outfielder,"6'2""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Zeb Ruddell,Outfielder,"6'0""",205 lb,louisiana tech bulldogs,Louisiana Tech University 
Michael Ballard,Infielder,"6'0""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Colton Coates,Infielder,"6'0""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Brooks Roberson,Pitcher,"6'4""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Luke Cooley,Pitcher,"6'1""",215 lb,louisiana tech bulldogs,Louisiana Tech University 
Bryce Dolby,Pitcher,"6'5""",210 lb,louisiana tech bulldogs,Louisiana Tech University 
Grant Comeaux,Infielder,"6'1""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
CJ Sturiale,Outfielder/Pitcher,"5'10""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Logan Forsythe,Pitcher,"6'0""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Slade Netterville,Infielder,"5'9""",170 lb,louisiana tech bulldogs,Louisiana Tech University 
Cade Patterson,Outfielder,"6'1""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Luke Smith,Outfielder,"6'0""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Grant Hubka,Pitcher,"6'4""",220 lb,louisiana tech bulldogs,Louisiana Tech University 
Jake LaRocca,Catcher,"5'10""",200 lb,louisiana tech bulldogs,Louisiana Tech University 
Sebastian Mexico,Outfielder,"6'1""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Reid Snider,Infielder,"6'2""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Blake Hooks,Pitcher,"6'0""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Will Croft,Pitcher,"5'10""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Matt Houston,Catcher,"6'2""",240 lb,louisiana tech bulldogs,Louisiana Tech University 
Luke Nichols,Pitcher,"6'2""",205 lb,louisiana tech bulldogs,Louisiana Tech University 
Connor Nation,Pitcher,"6'0""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Zach Mazoch,Catcher,"6'0""",210 lb,louisiana tech bulldogs,Louisiana Tech University 
Reece Tarini,Pitcher,"5'10""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Nate Crider,Pitcher,"6'4""",230 lb,louisiana tech bulldogs,Louisiana Tech University 
Ryan Harland,Pitcher,"5'8""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Noah Magee,Pitcher,"6'1""",205 lb,louisiana tech bulldogs,Louisiana Tech University 
Kade Parker,Pitcher,"6'2""",180 lb,louisiana tech bulldogs,Louisiana Tech University 
Garrett Wallace,Outfielder,"6'2""",190 lb,louisiana tech bulldogs,Louisiana Tech University 
Eli Berch,Catcher,"5'11""",210 lb,louisiana tech bulldogs,Louisiana Tech University 
Jacob Havern,Pitcher,"6'6""",180 lb,louisiana tech bulldogs,Louisiana Tech University 
Hayden Harmon,Pitcher,"5'11""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Cam Harris,Utility,"6'1""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Ethan Judice,Pitcher,"5'11""",185 lb,louisiana tech bulldogs,Louisiana Tech University 
Trey Hawsey,Infielder,"6'2""",240 lb,louisiana tech bulldogs,Louisiana Tech University 
Sutton Lewis,Infielder,"6'0""",195 lb,louisiana tech bulldogs,Louisiana Tech University 
Owen Schexnaydre,Pitcher,"6'5""",275 lb,louisiana tech bulldogs,Louisiana Tech University 
Bryson Pierce,Pitcher,"6'3""",180 lb,louisiana tech bulldogs,Louisiana Tech University 
Landon Fontenot,Pitcher,"5'10""",200 lb,louisiana tech bulldogs,Louisiana Tech University 
Drew Bourgeois,Outfielder,"5'8""",175 lb,louisiana tech bulldogs,
