Name,Position,Height,Weight,Major,Team,School
Will Hodo,INF/OF,6' 3'',220 lb,Business,Alabama Crimson Tide,University of Alabama
Jimmy Thies,INF,6' 3'',210 lb,Communications,Alabama Crimson Tide,University of Alabama
Dominic Tamez,C,5' 10'',205 lb,Sports Management,Alabama Crimson Tide,University of Alabama
Connor Prielipp,LHP,6' 2'',210 lb,Kinesiology,Alabama Crimson Tide,University of Alabama
Graham Crawford,C,5' 11'',190 lb,General Studies,Alabama Crimson Tide,University of Alabama
Caden Rose,OF/INF,5' 10'',175 lb,Marketing,Alabama Crimson Tide,University of Alabama
Kade Woods,RHP,6' 3'',200 lb,Finance,Alabama Crimson Tide,University of Alabama
Nathan Shelton,LHP,6' 1'',185 lb,Health Sciences,Alabama Crimson Tide,University of Alabama
Jim Jarvis,INF,5' 10'',185 lb,Economics,Alabama Crimson Tide,University of Alabama
William Hamiter,OF,5' 11'',190 lb,Psychology,Alabama Crimson Tide,University of Alabama
Hunter Furtado,LHP,6' 4'',185 lb,Exercise Science,Alabama Crimson Tide,University of Alabama
Bryce Eblin,INF,5' 11'',185 lb,Information Systems,Alabama Crimson Tide,University of Alabama
Antoine Jean,LHP,6' 1'',180 lb,International Studies,Alabama Crimson Tide,University of Alabama
Owen Diodati,OF,6' 2'',220 lb,Human Performance,Alabama Crimson Tide,University of Alabama
Hunter Sute,C,5' 11'',190 lb,Biology,Alabama Crimson Tide,University of Alabama
Drew Williamson,INF,6' 4'',225 lb,Criminal Justice,Alabama Crimson Tide,University of Alabama
Trace Moore,LHP,6' 0'',195 lb,Sociology,Alabama Crimson Tide,University of Alabama
Tommy Seidl,OF,6' 1'',210 lb,Management,Alabama Crimson Tide,University of Alabama
Andrew Pinckney,OF,6' 3'',205 lb,Public Relations,Alabama Crimson Tide,University of Alabama
Camden Hayslip,OF,6' 2'',205 lb,Entrepreneurship,Alabama Crimson Tide,University of Alabama
Brandon Clarke,LHP,6' 4'',225 lb,Political Science,Alabama Crimson Tide,University of Alabama
Eric Foggo,INF,6' 5'',255 lb,Operations Management,Alabama Crimson Tide,University of Alabama
Davis Heller,INF,6' 8'',250 lb,Engineering,Alabama Crimson Tide,University of Alabama
Grayson Hitt,LHP,6' 3'',195 lb,Education,Alabama Crimson Tide,University of Alabama
Ben Hess,RHP,6' 5'',225 lb,Accounting,Alabama Crimson Tide,University of Alabama
Eli Giles,RHP,5' 10'',180 lb,Journalism,Alabama Crimson Tide,University of Alabama
Brayden Gainey,RHP,6' 0'',200 lb,Management Information Systems,Alabama Crimson Tide,University of Alabama
Jake Leger,LHP,5' 10'',210 lb,Environmental Studies,Alabama Crimson Tide,University of Alabama
Will Portera,C/INF,5' 10'',185 lb,General Studies,Alabama Crimson Tide,University of Alabama
Braylon Myers,RHP,6' 2'',220 lb,Business Analytics,Alabama Crimson Tide,University of Alabama
Luke Holman,RHP,6' 4'',185 lb,Finance,Alabama Crimson Tide,University of Alabama
Jacob McNairy,RHP,6' 2'',205 lb,Marketing,Alabama Crimson Tide,University of Alabama
Jake Eddington,RHP,6' 2'',185 lb,Economics,Alabama Crimson Tide,University of Alabama
Hagan Banks,RHP,6' 4'',200 lb,Sports Communication,Alabama Crimson Tide,University of Alabama
Hunter Ruth,RHP,6' 2'',195 lb,Public Health,Alabama Crimson Tide,University of Alabama
Dylan Ray,RHP,6' 3'',230 lb,Computer Science,Alabama Crimson Tide,University of Alabama
Garrett McMillan,RHP/INF,6' 4'',230 lb,Supply Chain Management,Alabama Crimson Tide,University of Alabama
Brock Guffey,LHP,6' 1'',190 lb,Health Promotion,Alabama Crimson Tide,University of Alabama
Connor Ball,LHP,6' 0'',170 lb,Exercise Science,Alabama Crimson Tide,University of Alabama
Zane Denton,INF,6' 0'',200 lb,Sports Management,Alabama Crimson Tide,University of Alabama
Landon Green,RHP,6' 1'',200 lb,Finance,Alabama Crimson Tide,University of Alabama
Hunter Hoopes,RHP,6' 1'',195 lb,Business Administration,Alabama Crimson Tide,University of Alabama
Jimmy Romano,RHP/INF,6' 1'',200 lb,Business,Duke Blue Devils,Duke University
Andrew Healy,LHP,6' 6'',200 lb,Neuroscience,Duke Blue Devils,Duke University
Andrew Yu,C,6' 0'',220 lb,Biology,Duke Blue Devils,Duke University
Gabe Nard,RHP,5' 11'',190 lb,Public Policy,Duke Blue Devils,Duke University
Alex Stone,C,6' 5'',235 lb,Economics,Duke Blue Devils,Duke University
Macon Winslow,C,6' 0'',200 lb,Psychology,Duke Blue Devils,Duke University
Wallace Clark,INF,6' 0'',180 lb,Sociology,Duke Blue Devils,Duke University
Josh Allen,LHP,6' 1'',200 lb,Computer Science,Duke Blue Devils,Duke University
Owen Proksch,LHP,6' 3'',225 lb,International Studies,Duke Blue Devils,Duke University
Aidan Weaver,RHP,6' 5'',230 lb,Business,Duke Blue Devils,Duke University
Edward Hart,LHP,6' 5'',235 lb,Psychology,Duke Blue Devils,Duke University
Jonathan Santucci,LHP,6' 2'',205 lb,Business,Duke Blue Devils,Duke University
Devin Obee,OF,6' 2'',215 lb,Sociology,Duke Blue Devils,Duke University
Kyle Johnson,OF/LHP,6' 1'',205 lb,Psychology,Duke Blue Devils,Duke University
Jackson Emus,RHP,6' 5'',240 lb,International Studies,Duke Blue Devils,Duke University
James Tallon,LHP,6' 5'',195 lb,Computer Science,Duke Blue Devils,Duke University
Sam Harris,1B/OF,6' 5'',220 lb,International Studies,Duke Blue Devils,Duke University
Tim Noone,LHP,6' 0'',190 lb,Psychology,Duke Blue Devils,Duke University
Nick Conte,RHP,5' 10'',200 lb,Economics,Duke Blue Devils,Duke University
Mike Miller,RHP/1B,6' 4'',220 lb,History,Duke Blue Devils,Duke University
Zac Morris,INF,5' 11'',185 lb,Political Science,Duke Blue Devils,Duke University
Logan Bravo,INF,6' 5'',215 lb,Public Policy,Duke Blue Devils,Duke University
Chad Knight,C,6' 0'',210 lb,Statistics,Duke Blue Devils,Duke University
Chase Krewson,OF/LHP,6' 2'',205 lb,Economics,Duke Blue Devils,Duke University
Ryan Higgins,RHP,6' 2'',210 lb,Neuroscience,Duke Blue Devils,Duke University
AJ Gracia,OF/LHP,6' 3'',195 lb,Public Policy,Duke Blue Devils,Duke University
Camron Poe,LHP/OF,6' 3'',215 lb,History,Duke Blue Devils,Duke University
Fran Oschell III,RHP,6' 7'',230 lb,Public Policy,Duke Blue Devils,Duke University
Sam Yelton,OF,5' 11'',200 lb,Statistics,Duke Blue Devils,Duke University
Roman DiGiacomo,C,6' 3'',220 lb,Business,Duke Blue Devils,Duke University
Ben Miller,1B,6' 1'',225 lb,Statistics,Duke Blue Devils,Duke University
David Boisvert,RHP,6' 5'',215 lb,Sociology,Duke Blue Devils,Duke University
Noah Murray,INF,5' 10'',170 lb,International Studies,Duke Blue Devils,Duke University
Tyler Albright,OF,6' 0'',200 lb,Statistics,Duke Blue Devils,Duke University
Jimmy Evans,OF,5' 9'',180 lb,Mathematics,Duke Blue Devils,Duke University
Charlie Beilenson,RHP,6' 0'',215 lb,Mathematics,Duke Blue Devils,Duke University
James Raidt,RHP/OF,6' 3'',180 lb,Business,Duke Blue Devils,Duke University
