Name,Position,Height,Weight,Team,School
Justin Lebron,INF,6' 2'',180 lb,Alabama Crimson Tide,University Of Alabama
Kade Snell,OF,6' 1'',210 lb,Alabama Crimson Tide,University Of Alabama
Riley Quick,RHP,6' 6'',245 lb,Alabama Crimson Tide,University Of Alabama
Richie Bonomolo Jr.,OF,5' 11'',200 lb,Alabama Crimson Tide,University Of Alabama
Beau Bryans,LHP,6' 0'',195 lb,Alabama Crimson Tide,University Of Alabama
Matthew Heiberger,LHP,6' 3'',210 lb,Alabama Crimson Tide,University Of Alabama
Tyler Fay,RHP,6' 5'',215 lb,Alabama Crimson Tide,University Of Alabama
Bryce Fowler,OF,6' 2'',190 lb,Alabama Crimson Tide,University Of Alabama
Brady Neal,C/INF,5' 10'',190 lb,Alabama Crimson Tide,University Of Alabama
Coulson Buchanan,RHP,5' 10'',185 lb,Alabama Crimson Tide,University Of Alabama
JT Blackwood,RHP,6' 2'',210 lb,Alabama Crimson Tide,University Of Alabama
Luke Vaughn,C,6' 2'',200 lb,Alabama Crimson Tide,University Of Alabama
Carson Ozmer,RHP,6' 2'',210 lb,Alabama Crimson Tide,University Of Alabama
Coleman Mizell,OF,6' 3'',230 lb,Alabama Crimson Tide,University Of Alabama
Jonathan Stevens,RHP,6' 1'',215 lb,Alabama Crimson Tide,University Of Alabama
Will Plattner,C,6' 1'',205 lb,Alabama Crimson Tide,University Of Alabama
Will Hodo,INF/OF,6' 3'',225 lb,Alabama Crimson Tide,University Of Alabama
Aeden Finateri,RHP,6' 0'',235 lb,Alabama Crimson Tide,University Of Alabama
Zane Adams,LHP,6' 4'',195 lb,Alabama Crimson Tide,University Of Alabama
Brennen Norton,INF,5' 9'',195 lb,Alabama Crimson Tide,University Of Alabama
Braylon Myers,RHP,6' 2'',205 lb,Alabama Crimson Tide,University Of Alabama
Aidan Moza,RHP,6' 1'',195 lb,Alabama Crimson Tide,University Of Alabama
Tate Robertson,LHP,6' 0'',170 lb,Alabama Crimson Tide,University Of Alabama
Peyton Steele,OF,6' 1'',195 lb,Alabama Crimson Tide,University Of Alabama
Garrett Staton,INF,6' 0'',195 lb,Alabama Crimson Tide,University Of Alabama
Danny Heintz,RHP,6' 6'',235 lb,Alabama Crimson Tide,University Of Alabama
Anthony Pesci,RHP,6' 4'',205 lb,Alabama Crimson Tide,University Of Alabama
Jon Young Jr.,INF,6' 1'',190 lb,Alabama Crimson Tide,University Of Alabama
Jason Torres,INF,6' 1'',230 lb,Alabama Crimson Tide,University Of Alabama
Ariston Veasey,RHP/UTL,6' 1'',190 lb,Alabama Crimson Tide,University Of Alabama
Hagan Banks,RHP,6' 4'',215 lb,Alabama Crimson Tide,University Of Alabama
Andre Modugno,INF/RHP,6' 5'',220 lb,Alabama Crimson Tide,University Of Alabama
Zach Kittrell,RHP,6' 0'',195 lb,Alabama Crimson Tide,University Of Alabama
Sam Mitchell,RHP,6' 7'',235 lb,Alabama Crimson Tide,University Of Alabama
Sean Griggs,INF,6' 2'',195 lb,Alabama Crimson Tide,University Of Alabama
Connor Ball,LHP,6' 0'',180 lb,Alabama Crimson Tide,University Of Alabama
Ahmaad Duff,OF,5' 7'',155 lb,Alabama Crimson Tide,University Of Alabama
Jack Ketchum,RHP,6' 3'',210 lb,Alabama Crimson Tide,University Of Alabama
Packy Bradley-Cooney,RHP,6' 2'',210 lb,Alabama Crimson Tide,University Of Alabama
Jackson Hunter,RHP,6' 3'',190 lb,Alabama Crimson Tide,University Of Alabama
Carson Kuehne,LHP,6' 5'',195 lb,Alabama Crimson Tide,University Of Alabama
JoJo Williamson,INF,5' 8'',175 lb,Alabama Crimson Tide,University Of Alabama
Bobby Alcock,RHP,6' 5'',230 lb,Alabama Crimson Tide,University Of Alabama
Nash Wagner,RHP,6' 5'',225 lb,Alabama Crimson Tide,University Of Alabama
Connor Lehman,LHP,6' 2'',210 lb,Alabama Crimson Tide,University Of Alabama
Ashton Alston,RHP,6' 6'',205 lb,Alabama Crimson Tide,University Of Alabama
Egan Lowery,RHP,6' 1'',184 lb,Alabama Crimson Tide,University Of Alabama
