Name,Position,Height,Weight,Team,School
Jeff Lougee,INF,6' 0'',185 lb,Duke Blue Devils,Duke University
Andrew Healy,LHP,6' 6'',200 lb,Duke Blue Devils,Duke University
Andrew Yu,C,6' 0'',220 lb,Duke Blue Devils,Duke University
Gabe Nard,RHP,5' 11'',190 lb,Duke Blue Devils,Duke University
Kyle Johnson,OF/LHP,6' 1'',205 lb,Duke Blue Devils,Duke University
Macon Winslow,C,6' 0'',200 lb,Duke Blue Devils,Duke University
Wallace Clark,INF,6' 0'',195 lb,Duke Blue Devils,Duke University
Ben Rounds,OF,6' 1'',200 lb,Duke Blue Devils,Duke University
Owen Proksch,LHP,6' 3'',225 lb,Duke Blue Devils,Duke University
Aidan Weaver,RHP,6' 5'',230 lb,Duke Blue Devils,Duke University
Edward Hart,LHP,6' 5'',235 lb,Duke Blue Devils,Duke University
Henry Zatkowski,LHP,6' 2'',190 lb,Duke Blue Devils,Duke University
Andrew Bell,INF,6' 1'',195 lb,Duke Blue Devils,Duke University
Trevor Johnson,OF,6' 2'',205 lb,Duke Blue Devils,Duke University
Jake Hyde,INF/OF,6' 4'',205 lb,Duke Blue Devils,Duke University
James Tallon,LHP,6' 5'',195 lb,Duke Blue Devils,Duke University
Sam Harris,1B/OF,6' 5'',220 lb,Duke Blue Devils,Duke University
Mark Hindy,LHP,6' 4'',220 lb,Duke Blue Devils,Duke University
Adam Troch,OF,6' 0'',175 lb,Duke Blue Devils,Duke University
Nick DiPietrantonio,INF,6' 3'',210 lb,Duke Blue Devils,Duke University
Jake Berger,INF,6' 3'',195 lb,Duke Blue Devils,Duke University
Reid Easterly,LHP,6' 0'',200 lb,Duke Blue Devils,Duke University
Jay Slater,C,6' 0'',198 lb,Duke Blue Devils,Duke University
Kael Gahan,LHP,6' 2'',185 lb,Duke Blue Devils,Duke University
Ryan Higgins,RHP,6' 2'',210 lb,Duke Blue Devils,Duke University
AJ Gracia,OF,6' 3'',195 lb,Duke Blue Devils,Duke University
Ryan Calvert,RHP,6' 5'',240 lb,Duke Blue Devils,Duke University
Roman DiGiacomo,C/RHP,6' 3'',220 lb,Duke Blue Devils,Duke University
Ben Miller,INF,6' 1'',225 lb,Duke Blue Devils,Duke University
David Boisvert,RHP,6' 5'',215 lb,Duke Blue Devils,Duke University
Noah Murray,INF,5' 10'',170 lb,Duke Blue Devils,Duke University
Jack Feehery,LHP,6' 0'',175 lb,Duke Blue Devils,Duke University
Zach Jackson,OF,6' 1'',170 lb,Duke Blue Devils,Duke University
Tyler Albright,OF,6' 0'',200 lb,Duke Blue Devils,Duke University
Harley Goodner,INF,6' 1'',198 lb,Duke Blue Devils,Duke University
Marcello Mastroianni,LHP,6' 3'',195 lb,Duke Blue Devils,Duke University
Jack Hedrick,RHP,6' 5'',205 lb,Duke Blue Devils,Duke University
Jimmy Evans,OF,5' 9'',180 lb,Duke Blue Devils,Duke University
Gavin Brown,LHP,6' 5'',195 lb,Duke Blue Devils,Duke University
Collins Black,RHP,6' 2'',200 lb,Duke Blue Devils,Duke University
James Raidt,RHP,6' 3'',180 lb,Duke Blue Devils,Duke University
Bryce Brannon,RHP,6' 3'',200 lb,Duke Blue Devils,Duke University
Max Stammel,LHP,6' 3'',190 lb,Duke Blue Devils,Duke University
