Name,Position,Height,Weight,Team,School
Cade Arrambide,Catcher,6'3'',204 lb,LSU Tigers,LSU
Chris Stanfield,Outfield,6'2'',195 lb,LSU Tigers,LSU
Steven Milam,Infield,5'8'',177 lb,LSU Tigers,LSU
Tanner Reaves,Infield,6'1'',165 lb,LSU Tigers,LSU
Derek Curiel,Outfield,6'2'',182 lb,LSU Tigers,LSU
Jake Brown,Outfield,6'2'',205 lb,LSU Tigers,LSU
Gavin Guidry,Right-Handed Pitcher,6'2'',182 lb,LSU Tigers,LSU
William Schmidt,Right-Handed Pitcher,6'4'',188 lb,LSU Tigers,LSU
Brayden Simpson,Infield,6'1'',190 lb,LSU Tigers,LSU
John Pearson,Outfield / Third Base,6'0'',248 lb,LSU Tigers,LSU
Edward Yamin IV,Catcher / First Base,6'5'',220 lb,LSU Tigers,LSU
Daniel Harden,Outfield,6'2'',205 lb,LSU Tigers,LSU
Ethan Clauss,Infield,6'2'',190 lb,LSU Tigers,LSU
Mavrick Rizy,Right-Handed Pitcher,6'9'',253 lb,LSU Tigers,LSU
Mason Braun,Outfield / First Base,6'0'',195 lb,LSU Tigers,LSU
Casan Evans,Right-Handed Pitcher,6'2'',194 lb,LSU Tigers,LSU
Cooper Moore,Right-Handed Pitcher,6'1'',200 lb,LSU Tigers,LSU
William Patrick,Outfield,6'2'',200 lb,LSU Tigers,LSU
Seth Dardar,Infield,6'2'',220 lb,LSU Tigers,LSU
Omar Serna Jr.,Catcher,6'2'',225 lb,LSU Tigers,LSU
Zac Cowan,Right-Handed Pitcher,5'11'',203 lb,LSU Tigers,LSU
Jaden Noot,Right-Handed Pitcher,6'4'',228 lb,LSU Tigers,LSU
Danny Lachenmayer,Left-Handed Pitcher,6'3'',195 lb,LSU Tigers,LSU
Cooper Williams,Left-Handed Pitcher,6'4'',200 lb,LSU Tigers,LSU
Dax Dathe,Right-Handed Pitcher,6'3'',214 lb,LSU Tigers,LSU
Jack Ruckert,Infield,6'1'',185 lb,LSU Tigers,LSU
Zach Yorke,Infield,6'2'',295 lb,LSU Tigers,LSU
Santiago Garcia,Left-Handed Pitcher,6'0'',180 lb,LSU Tigers,LSU
Reagan Ricken,Right-Handed Pitcher,6'5'',220 lb,LSU Tigers,LSU
Ethan Plog,Left-Handed Pitcher,6'1'',185 lb,LSU Tigers,LSU
Jonah Aase,Left-Handed Pitcher,6'1'',190 lb,LSU Tigers,LSU
Grant Fontenot,Right-Handed Pitcher,6'3'',225 lb,LSU Tigers,LSU
DJ Primeaux,Left-Handed Pitcher,5'10'',201 lb,LSU Tigers,LSU
Connor Benge,Right-Handed Pitcher,6'0'',194 lb,LSU Tigers,LSU
Trent Caraway,Infield,6'2'',203 lb,LSU Tigers,LSU
Deven Sheerin,Right-Handed Pitcher,6'5'',245 lb,LSU Tigers,LSU
Ryler Smart,Left-Handed Pitcher,6'4'',236 lb,LSU Tigers,LSU
Zion Theophilus,Right-Handed Pitcher,6'2'',196 lb,LSU Tigers,LSU
Marcos Paz,Right-Handed Pitcher,6'2'',220 lb,LSU Tigers,LSU
