Name,Position,Height,Weight,Team,School
Alex Madera,INF,5'10'',179 lb,North Carolina Tar Heels,UNC-Chapel Hill
Reece Holbrook,OF,5'11'',181 lb,North Carolina Tar Heels,UNC-Chapel Hill
Lee Sowers,INF,5'10'',185 lb,North Carolina Tar Heels,UNC-Chapel Hill
Sawyer Black,OF,6'1'',194 lb,North Carolina Tar Heels,UNC-Chapel Hill
Gavin Gallaher,INF,6'1'',191 lb,North Carolina Tar Heels,UNC-Chapel Hill
Jackson Van De Brake,INF,6'1'',202 lb,North Carolina Tar Heels,UNC-Chapel Hill
Perry Hargett,OF,6'0'',187 lb,North Carolina Tar Heels,UNC-Chapel Hill
Boaz Harper,INF,5'11'',175 lb,North Carolina Tar Heels,UNC-Chapel Hill
Tom Chmielewski,LHP,6'2'',210 lb,North Carolina Tar Heels,UNC-Chapel Hill
Tyson Bass,OF,6'3'',211 lb,North Carolina Tar Heels,UNC-Chapel Hill
Macaddin Dye,C,6'1'',215 lb,North Carolina Tar Heels,UNC-Chapel Hill
Parker McCoy,INF,6'1'',205 lb,North Carolina Tar Heels,UNC-Chapel Hill
Cameron Padgett,RHP,6'3'',195 lb,North Carolina Tar Heels,UNC-Chapel Hill
Boston Flannery,RHP,6'4'',230 lb,North Carolina Tar Heels,UNC-Chapel Hill
Carter French,OF,6'2'',196 lb,North Carolina Tar Heels,UNC-Chapel Hill
Camron Seagraves,RHP,6'3'',179 lb,North Carolina Tar Heels,UNC-Chapel Hill
Alex Ferrell,INF,6'2'',209 lb,North Carolina Tar Heels,UNC-Chapel Hill
Sam Angelo,INF,6'0'',225 lb,North Carolina Tar Heels,UNC-Chapel Hill
Matthew Matthijs,RHP,6'2'',230 lb,North Carolina Tar Heels,UNC-Chapel Hill
Rom Kellis V,OF/C,6'1'',203 lb,North Carolina Tar Heels,UNC-Chapel Hill
Kyle Percival,LHP,6'5'',220 lb,North Carolina Tar Heels,UNC-Chapel Hill
Kane Kepley,OF,5'8'',180 lb,North Carolina Tar Heels,UNC-Chapel Hill
Riley Leatherman,RHP,6'2'',180 lb,North Carolina Tar Heels,UNC-Chapel Hill
Jason DeCaro,RHP,6'5'',230 lb,North Carolina Tar Heels,UNC-Chapel Hill
Olin Johnson,RHP,6'6'',230 lb,North Carolina Tar Heels,UNC-Chapel Hill
Francesco Capocci,RHP,6'4'',221 lb,North Carolina Tar Heels,UNC-Chapel Hill
Folger Boaz,LHP,6'2'',212 lb,North Carolina Tar Heels,UNC-Chapel Hill
Cale Bolton,RHP,6'5'',240 lb,North Carolina Tar Heels,UNC-Chapel Hill
Harrison Lewis,RHP,6'6'',236 lb,North Carolina Tar Heels,UNC-Chapel Hill
Walker McDuffie,RHP,6'0'',200 lb,North Carolina Tar Heels,UNC-Chapel Hill
Jacob Kirby,RHP,6'5'',200 lb,North Carolina Tar Heels,UNC-Chapel Hill
Jake Knapp,RHP,6'5'',270 lb,North Carolina Tar Heels,UNC-Chapel Hill
Tyler Parks,INF,5'9'',177 lb,North Carolina Tar Heels,UNC-Chapel Hill
Luke Stevenson,C,6'1'',210 lb,North Carolina Tar Heels,UNC-Chapel Hill
Hunter Stokely,INF,6'3'',241 lb,North Carolina Tar Heels,UNC-Chapel Hill
Will Simmons,RHP,6'2'',205 lb,North Carolina Tar Heels,UNC-Chapel Hill
Aidan Haugh,RHP,6'6'',229 lb,North Carolina Tar Heels,UNC-Chapel Hill
Ryan Hench,RHP,6'2'',200 lb,North Carolina Tar Heels,UNC-Chapel Hill
Dylan Weber,LHP,6'0'',197 lb,North Carolina Tar Heels,UNC-Chapel Hill
Mitch Wilson,C,6'3'',212 lb,North Carolina Tar Heels,UNC-Chapel Hill
Tim Lawson,LHP,6'5'',230 lb,North Carolina Tar Heels,UNC-Chapel Hill
Andrew Wallen,RHP,6'7'',245 lb,North Carolina Tar Heels,UNC-Chapel Hill
Ryan Lynch,RHP,6'3'',235 lb,North Carolina Tar Heels,UNC-Chapel Hill
Mason Yokum,LHP,6'3'',185 lb,North Carolina Tar Heels,UNC-Chapel Hill
John Hughes,LHP,6'0'',215 lb,North Carolina Tar Heels,UNC-Chapel Hill
