Name,Position,Height,Weight,Team,School
Masa Chilcutt,C,"5'7""",170 lb,Rice Owls,Rice University
Cole Green,INF,"6'0""",175 lb,Rice Owls,Rice University
JC Davis,INF,"5'11""",175 lb,Rice Owls,Rice University
Caden Baker,OF,"5'7""",162 lb,Rice Owls,Rice University
Ian Melendez,INF,"5'10""",10 lb,Rice Owls,Rice University
LJ Layhew,C,"5'8""",205 lb,Rice Owls,Rice University
Michael Zito,INF,"6'1""",192 lb,Rice Owls,Rice University
Kutter-Gage Webb,INF,"5'11""",211 lb,Rice Owls,Rice University
Trey Duffield,OF,"6'3""",229 lb,Rice Owls,Rice University
Colin Robson,OF,"6'2""",185 lb,Rice Owls,Rice University
Austin Eppley,RHP/UT,"6'1""",207 lb,Rice Owls,Rice University
Lorenzo Rios,C,"6'2""",205 lb,Rice Owls,Rice University
Garet Boehm,INF,"6'3""",215 lb,Rice Owls,Rice University
Matt Zatopek,RHP,"6'3""",210 lb,Rice Owls,Rice University
Paul Smith,1B/C,"5'11""",211 lb,Rice Owls,Rice University
Ethan Sanders,RHP/INF,"6'1""",200 lb,Rice Owls,Rice University
Aric Anderson,C,"6'0""",205 lb,Rice Owls,Rice University
Gunnett Carlson,INF,"5'10""",210 lb,Rice Owls,Rice University
Tobias Motley,INF/OF,"6'2""",201 lb,Rice Owls,Rice University
Tanner Wiggins,RHP,"6'2""",189 lb,Rice Owls,Rice University
Jacob Devenny,OF,"5'11""",211 lb,Rice Owls,Rice University
Ryland Urbanczyk,RHP,"6'1""",220 lb,Rice Owls,Rice University
Ethan Atchley,RHP,"6'0""",180 lb,Rice Owls,Rice University
Mason Ashlock,OF,"6'2""",215 lb,Rice Owls,Rice University
Landon West,C,"6'3""",213 lb,Rice Owls,Rice University
Logan Voelz,RHP,"6'1""",203 lb,Rice Owls,Rice University
D.C. Brown,LHP,"6'3""",220 lb,Rice Owls,Rice University
Marco Fuentes,RHP,"6'2""",210 lb,Rice Owls,Rice University
Ty Thames,RHP,"6'3""",214 lb,Rice Owls,Rice University
Nolan Roycraft,LHP,"6'5""",226 lb,Rice Owls,Rice University
Anthony Diaz,LHP,"6'2""",205 lb,Rice Owls,Rice University
Brayden Sharp,OF/LHP,"6'2""",171 lb,Rice Owls,Rice University
Sullivan Brackin,RHP,"6'5""",220 lb,Rice Owls,Rice University
Jax Traeger,RHP,"6'1""",215 lb,Rice Owls,Rice University
Jackson Mayo,LHP,"6'2""",175 lb,Rice Owls,Rice University
Carson Kuhn,LHP,"6'0""",185 lb,Rice Owls,Rice University
Jeremiah Arnett,RHP,"6'4""",215 lb,Rice Owls,Rice University
Landis Davila,OF,"6'3""",200 lb,Rice Owls,Rice University
Zachary Daigre,OF,"5'9""",155 lb,Rice Owls,Rice University
Zachary Fetchel,RHP,"6'3""",173 lb,Rice Owls,Rice University
Hiram Bocachica Jr.,INF,"5'7""",155 lb,Rice Owls,Rice University
Trey Dooley,RHP,"6'1""",200 lb,Rice Owls,Rice University
Robert Fernandez,RHP,"6'0""",214 lb,Rice Owls,Rice University
Ty Baker,RHP,"6'4""",230 lb,Rice Owls,Rice University
Jackson Blank,RHP,"6'2""",208 lb,Rice Owls,Rice University
