Name,Position,Height,Weight,Team,School
Dean Curley,INF,6' 3'',218 lb,Tennessee Volunteers,University of Tennessee
Ariel Antigua,INF,5' 8'',180 lb,Tennessee Volunteers,University of Tennessee
Manny Marin,INF,6' 1'',181 lb,Tennessee Volunteers,University of Tennessee
Cannon Peebles,C,5' 11'',190 lb,Tennessee Volunteers,University of Tennessee
Gavin Kilen,INF,5' 11'',187 lb,Tennessee Volunteers,University of Tennessee
Nate Snead,RHP,6' 2'',212 lb,Tennessee Volunteers,University of Tennessee
Jay Abernathy,OF/INF,5' 10'',177 lb,Tennessee Volunteers,University of Tennessee
Hunter Ensley,OF,6' 1'',197 lb,Tennessee Volunteers,University of Tennessee
Chris Newstrom,INF/OF,6' 2'',204 lb,Tennessee Volunteers,University of Tennessee
Andrew Fischer,INF,6' 1'',210 lb,Tennessee Volunteers,University of Tennessee
Liam Doyle,LHP,6' 2'',220 lb,Tennessee Volunteers,University of Tennessee
Reese Chapman,OF,6' 1'',224 lb,Tennessee Volunteers,University of Tennessee
Blake Grimmer,UTL,6' 3'',208 lb,Tennessee Volunteers,University of Tennessee
Hunter High,OF/INF,6' 0'',199 lb,Tennessee Volunteers,University of Tennessee
Dalton Bargo,UTL,6' 1'',195 lb,Tennessee Volunteers,University of Tennessee
Thomas Crabtree,RHP,6' 4'',202 lb,Tennessee Volunteers,University of Tennessee
Austin Breedlove,RHP,6' 2'',200 lb,Tennessee Volunteers,University of Tennessee
Andrew Behnke,LHP,5' 10'',183 lb,Tennessee Volunteers,University of Tennessee
Colby Backus,OF,6' 4'',230 lb,Tennessee Volunteers,University of Tennessee
Tegan Kuhns,RHP,6' 3'',189 lb,Tennessee Volunteers,University of Tennessee
Marcus Phillips,RHP,6' 4'',246 lb,Tennessee Volunteers,University of Tennessee
Brandon Arvidson,LHP,6' 5'',215 lb,Tennessee Volunteers,University of Tennessee
Stone Lawless,C/1B,6' 2'',219 lb,Tennessee Volunteers,University of Tennessee
Ryan Combs,RHP,6' 3'',184 lb,Tennessee Volunteers,University of Tennessee
Aidan Hayse,RHP,6' 3'',191 lb,Tennessee Volunteers,University of Tennessee
Levi Clark,UTL,6' 1'',211 lb,Tennessee Volunteers,University of Tennessee
Austin Hunley,RHP,6' 3'',199 lb,Tennessee Volunteers,University of Tennessee
Tate Strickland,RHP,6' 3'',192 lb,Tennessee Volunteers,University of Tennessee
AJ Russell,RHP,6' 6'',223 lb,Tennessee Volunteers,University of Tennessee
Brayden Krenzel,RHP,6' 3'',214 lb,Tennessee Volunteers,University of Tennessee
Michael Sharman,LHP,6' 1'',198 lb,Tennessee Volunteers,University of Tennessee
Brayden May,LHP,5' 11'',186 lb,Tennessee Volunteers,University of Tennessee
Dylan Loy,LHP,6' 0'',208 lb,Tennessee Volunteers,University of Tennessee
Brooks Wright,C,5' 10'',206 lb,Tennessee Volunteers,University of Tennessee
Dane Bjorn,LHP,6' 2'',197 lb,Tennessee Volunteers,University of Tennessee
Anson Seibert,RHP,6' 8'',235 lb,Tennessee Volunteers,University of Tennessee
Jaxon Walker,OF,5' 11'',192 lb,Tennessee Volunteers,University of Tennessee
Bryson Thacker,LHP,6' 2'',189 lb,Tennessee Volunteers,University of Tennessee
Luke Payne,LHP,6' 4'',200 lb,Tennessee Volunteers,University of Tennessee
Nic Abraham,RHP,6' 5'',209 lb,Tennessee Volunteers,University of Tennessee
Alberto Osuna,1B/DH,6' 1'',244 lb,Tennessee Volunteers,University of Tennessee
Brayden Sharp,OF/LHP,6' 2'',171 lb,Tennessee Volunteers,University of Tennessee
Robinson Martin,INF,5' 8'',172 lb,Tennessee Volunteers,University of Tennessee
Tanner Wiggins,RHP,6' 2'',189 lb,Tennessee Volunteers,University of Tennessee
Ben Martin,RHP,6' 4'',225 lb,Tennessee Volunteers,University of Tennessee
Tanner Franklin,RHP,6' 5'',225 lb,Tennessee Volunteers,University of Tennessee
Jack Jones,INF,6' 3'',227 lb,Tennessee Volunteers,University of Tennessee
Brennon Seigler,OF,6' 1'',210 lb,Tennessee Volunteers,University of Tennessee
Dane Morrow,INF,6' 0'',178 lb,Tennessee Volunteers,University of Tennessee
Beau Revord,RHP/OF,6' 2'',200 lb,Tennessee Volunteers,University of Tennessee
Stratton Scott,RHP,6' 2'',196 lb,Tennessee Volunteers,University of Tennessee
Ryler Smart,LHP,6' 4'',236 lb,Tennessee Volunteers,University of Tennessee
Andrew DuMont,RHP,6' 1'',205 lb,Tennessee Volunteers,University of Tennessee
