Name,Position,Height,Weight,Team,School
Reiss Calvin,Outfield/Infield,"6'2""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jackson Flora,Right-Handed Pitcher,"6'5""",205 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Rowan Kelly,Outfield,"5'10""",175 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jonathan Mendez,Infield,"6'1""",200 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Nolan Farley,Infield,"6'4""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Cole Tryba,Left-Handed Pitcher,"6'0""",180 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jack Meissner,Infield,"6'2""",180 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Liam Barrett,Outfield,"6'0""",185 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Nate Vargas,Catcher,"6'3""",225 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Hudson Aber,Right-Handed Pitcher,"6'2""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Cole Kosciusko,Infield/Outfield,"6'2""",205 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Corey Nunez,Infield,"6'3""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Carson Timothy,Right-Handed Pitcher,"5'11""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Tyler Bremner,Right-Handed Pitcher,"6'2""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Nic Peterson,Left-Handed Pitcher,"6'2""",200 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Nathan Aceves,Right-Handed Pitcher,"6'3""",200 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Masen Swan,Left-Handed Pitcher,"6'0""",185 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Frank Camarillo,Right-Handed Pitcher,"6'4""",210 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Peter Storjohann,Right-Handed Pitcher,"6'5""",230 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Van Froling,Left-Handed Pitcher,"6'4""",210 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jeremiah Crain,Infield,"6'1""",205 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jack Haferkamp,Outfield,"6'4""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Raymond Olivas,Right-Handed Pitcher,"6'1""",175 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jack Holman,Infield/Outfield,"6'4""",225 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Elliot Gallegos,Right-Handed Pitcher,"6'1""",205 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Xavier Esquer,Infield,"5'10""",185 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Calvin Proskey,Right-Handed Pitcher,"6'3""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Casey Euper,Left-Handed Pitcher,"6'3""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Stunner Gonzales,Right-Handed Pitcher,"6'7""",200 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
LeTrey McCollum,Outfield/Infield,"6'4""",212 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Hudson Barrett,Left-Handed Pitcher,"6'5""",225 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Ian Fernandez,Catcher,"6'2""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Jimmy Zakhar,Catcher,"6'1""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Rex DeAngelis,Outfield/Infield,"6'4""",220 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Isaac Kim,Infield,"6'4""",230 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Chase Hoover,Left-Handed Pitcher,"6'1""",205 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Hayden Hattenbach,Left-Handed Pitcher,"6'7""",245 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
AJ Krodel,Right-Handed Pitcher,"6'4""",195 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Donovann Jackson,Left-Handed Pitcher,"6'3""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Reed Moring,Right-Handed Pitcher,"6'1""",190 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
Nick Salmon,Right-Handed Pitcher,"6'4""",215 lb,UC Santa Barbara Gauchos," University of California, Santa Barbara"
