Name,Position,Height,Weight,Team,School
Jordan Austin,OF,"6'4""",164 lb,Screaming Eagles,Southern Indiana
Jackson Taylor,IF,"6'3""",162 lb,Screaming Eagles,Southern Indiana
Thomas Emerich,IF/OF,"6'4""",168 lb,Screaming Eagles,Southern Indiana
Colby Morse,RHP,"6'2""",156 lb,Screaming Eagles,Southern Indiana
Eli Gipson,IF,"6'0""",182 lb,Screaming Eagles,Southern Indiana
Breyllin Suriel,RHP,"6'1""",155 lb,Screaming Eagles,Southern Indiana
Grant Parson,RHP,"6'3""",184 lb,Screaming Eagles,Southern Indiana
Nomar Garcia,IF,"6'4""",184 lb,Screaming Eagles,Southern Indiana
Zack Henderson,OF,"6'3""",152 lb,Screaming Eagles,Southern Indiana
Cole Chace,RHP,"6'2""",196 lb,Screaming Eagles,Southern Indiana
Carter Beck,OF,"6'5""",197 lb,Screaming Eagles,Southern Indiana
Jorge Cartagena,OF,"6'0""",195 lb,Screaming Eagles,Southern Indiana
Zac Laird,LHP,"6'2""",149 lb,Screaming Eagles,Southern Indiana
Ty Brooks,RHP,"6'4""",183 lb,Screaming Eagles,Southern Indiana
Sean McGurk,C,"6'3""",185 lb,Screaming Eagles,Southern Indiana
John Curl,1B,"6'2""",233 lb,Screaming Eagles,Southern Indiana
Brady Banker,LHP,"6'1""",200 lb,Screaming Eagles,Southern Indiana
Keegan Garis,OF,"6'1""",202 lb,Screaming Eagles,Southern Indiana
Nick Sutherlin,IF,"6'1""",207 lb,Screaming Eagles,Southern Indiana
Carlos Pena,IF/OF,"6'4""",215 lb,Screaming Eagles,Southern Indiana
Alex Nevils,C,"6'5""",191 lb,Screaming Eagles,Southern Indiana
Emil Estrella,RHP/OF,"6'3""",207 lb,Screaming Eagles,Southern Indiana
Gavin Morris,RHP,"5'10""",203 lb,Screaming Eagles,Southern Indiana
Ben Waliczek,IF,"6'4""",171 lb,Screaming Eagles,Southern Indiana
Carson Seeman,RHP,"6'4""",193 lb,Screaming Eagles,Southern Indiana
Mason Roell,IF,"6'2""",189 lb,Screaming Eagles,Southern Indiana
Aaron Moss,RHP,"6'3""",155 lb,Screaming Eagles,Southern Indiana
Cole Pacheco,RHP,"6'2""",237 lb,Screaming Eagles,Southern Indiana
Max McEwen,RHP,"6'0""",204 lb,Screaming Eagles,Southern Indiana
Ryan Karst,RHP,"6'1""",218 lb,Screaming Eagles,Southern Indiana
Jacob Spencer,RHP,"6'3""",197 lb,Screaming Eagles,Southern Indiana
Miguel Cantu,1B,"6'4""",213 lb,Screaming Eagles,Southern Indiana
Andrew Ortiz,OF,"6'1""",169 lb,Screaming Eagles,Southern Indiana
Jeremy Martinez,C,"6'4""",190 lb,Screaming Eagles,Southern Indiana
Wes Lyerly,RHP,"6'3""",181 lb,Screaming Eagles,Southern Indiana
Weston Fulk,LHP/UTIL,"6'7""",243 lb,Screaming Eagles,Southern Indiana
Sebastian Torres,IF,"5'10""",191 lb,Screaming Eagles,Southern Indiana
Liam Kirsh,C,"6'3""",195 lb,Screaming Eagles,Southern Indiana
Jack Armstrong,RHP,"6'1""",217 lb,Screaming Eagles,Southern Indiana
Caden Schrader,RHP,"6'5""",163 lb,Screaming Eagles,Southern Indiana
