Name,Position,Height,Weight,Team,School
Ryan Castro,Infielder,"6'0""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
Jack Ross,Pitcher,"6'3""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Andrew Grove,Pitcher,"6'3""",210 lbs,UC Irvine Anteaters,"University of California, Irvine"
James Castagnola,Infielder,"6'1""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
Jacob McCombs,Outfielder,"6'2""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Rowan Felsch,Outfield / First Base,"6'2""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Zach Doyle,Outfielder,"5'10""",175 lbs,UC Irvine Anteaters,"University of California, Irvine"
Max Martin,Pitcher,"6'5""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
David Utagawa,Pitcher,"6'4""",235 lbs,UC Irvine Anteaters,"University of California, Irvine"
Ricky Ojeda,Pitcher,"5'11""",185 lbs,UC Irvine Anteaters,"University of California, Irvine"
Danny Suarez,Pitcher,"6'3""",210 lbs,UC Irvine Anteaters,"University of California, Irvine"
Finnegan Wall,Pitcher,"6'2""",205 lbs,UC Irvine Anteaters,"University of California, Irvine"
Will Bermudez,Infielder,"5'10""",185 lbs,UC Irvine Anteaters,"University of California, Irvine"
Riley Kelly,Pitcher,"6'5""",240 lbs,UC Irvine Anteaters,"University of California, Irvine"
Zach Crandall,Catcher,"5'10""",210 lbs,UC Irvine Anteaters,"University of California, Irvine"
Tim Grack,Pitcher,"6'1""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
Landon Gaz,First Base / Outfield,"6'2""",235 lbs,UC Irvine Anteaters,"University of California, Irvine"
David Butler,Pitcher,"6'1""",185 lbs,UC Irvine Anteaters,"University of California, Irvine"
Frankie Carney,Infielder,"5'10""",180 lbs,UC Irvine Anteaters,"University of California, Irvine"
Auggie Gutierrez,Infielder,"5'11""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Alonso Reyes,Catcher / Infield,"5'10""",180 lbs,UC Irvine Anteaters,"University of California, Irvine"
Chase Call,Outfielder,"6'2""",215 lbs,UC Irvine Anteaters,"University of California, Irvine"
Brandon Luu,Pitcher,"6'2""",205 lbs,UC Irvine Anteaters,"University of California, Irvine"
Trevor Hansen,Pitcher,"6'2""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
Ryan Kysar,Pitcher,"6'0""",195 lbs,UC Irvine Anteaters,"University of California, Irvine"
Matthew Krause,Pitcher,"6'0""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Davis D'Errico,Outfielder,"5'10""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Tyler Foster,Pitcher,"6'1""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Colin Yeaman,Infielder,"6'2""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Hudson Comer,Outfielder,"6'2""",210 lbs,UC Irvine Anteaters,"University of California, Irvine"
Zach Fjelstad,Infielder,"5'11""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Ryan Ham,Infielder,"6'0""",185 lbs,UC Irvine Anteaters,"University of California, Irvine"
Dane Grant,Pitcher,"6'1""",185 lbs,UC Irvine Anteaters,"University of California, Irvine"
Blake Penso,Catcher,"6'3""",225 lbs,UC Irvine Anteaters,"University of California, Irvine"
Ryder Brooks,Pitcher,"6'3""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Michael Podstreleny,Catcher,"5'10""",190 lbs,UC Irvine Anteaters,"University of California, Irvine"
Theo Kim,Infielder,"6'2""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Jaxton Andeel,Pitcher,"6'4""",210 lbs,UC Irvine Anteaters,"University of California, Irvine"
Aiden Alvarez,Pitcher,"6'3""",200 lbs,UC Irvine Anteaters,"University of California, Irvine"
Anthony Martinez,First Baseman,"6'3""",230 lbs,UC Irvine Anteaters,"University of California, Irvine"
